,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Xiaomi Mi 9T (2019) | Glacier Blue | With Official Warranty,https://hummart.com/xiaomi-mi-9t-2019-glacier-blue-with-official-warranty-6-gb-128-gb-sl.html,"https://hummart.com/media/catalog/product/m/i/mixiomi9tblue128gb.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",62000,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
37,Nokia 2.1 Dual Sim | Blue/Silver | With Official Warranty,https://hummart.com/nokia-2-1-dual-sim-blue-silver-with-official-warranty-1-gb-8-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia21dsbluesilver.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",12600,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
38,Nokia 2.1 Dual Sim | Grey/Silver | With Official Warranty,https://hummart.com/nokia-2-1-dual-sim-grey-silver-with-official-warranty-1-gb-8-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia21dsgreysilver.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",12600,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
39,Samsung A50 (2019) | Black | With Official Warranty,https://hummart.com/samsung-a50-2019-black-with-official-warranty-4-gb-128-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsama502019black.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",48999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
40,Nokia 2.2 Dual Sim | Steel | With Official Warranty,https://hummart.com/nokia-2-2-dual-sim-steel-with-official-warranty-3-gb-64-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia22dssteel.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",18850,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
41,Samsung A7 (2018) | Gold | With Official Warranty,https://hummart.com/samsung-a70-2018-gold-with-official-warranty-4-gb-128-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsama702018gold.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",49999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
42,Samsung A7 (2018) | Blue | With Official Warranty,https://hummart.com/samsung-a70-2018-blue-with-official-warranty-4-gb-128-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsama702018blue.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",49999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
43,Nokia 2.2 Dual Sim | Tungsten Black | With Official Warranty,https://hummart.com/nokia-2-2-dual-sim-tungsten-black-with-official-warranty-3-gb-64-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia22dstungstenblack.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",18850,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
44,Samsung A7 (2018) | Black | With Official Warranty,https://hummart.com/samsung-a70-2018-black-with-official-warranty-4-gb-128-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsama702018black.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",49999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
45,Nokia 3.2 Dual Sim | Black | With Official Warranty,https://hummart.com/nokia-3-2-dual-sim-black-with-official-warranty-3-gb-32-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia32black32gb.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",25650,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
46,Nokia 3.2 Dual Sim | Steel | With Official Warranty,https://hummart.com/nokia-3-2-dual-sim-steel-with-official-warranty-3-gb-32-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia32steel64gb_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",25650,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
47,Nokia 3.2 Dual SIm | Black | With Official Warranty,https://hummart.com/nokia-3-2-dual-sim-black-with-official-warranty-2-gb-16-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia32black16gb.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",18450,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
48,Nokia 3.2 Dual Sim | Steel | With Official Warranty,https://hummart.com/nokia-3-2-dual-sim-steel-with-official-warranty-2-gb-16-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia32steel16gb.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",18450,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
49,Nokia 3.2 Dual SIm | Black | With Official Warranty,https://hummart.com/nokia-3-2-dual-sim-black-with-official-warranty-3-gb-64-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia32black64gb.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",27149,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
50,Nokia 3.2 Dual SIm | Steel | With Official Warranty,https://hummart.com/nokia-3-2-dual-sim-steel-with-official-warranty-3-gb-64-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia32steel64gb.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",27149,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
51,Samsung S10 128Gb | Black | With Official Warranty,https://hummart.com/samsung-s10-128gb-black-with-official-warranty-8-gb-128-gb-1.html,"https://hummart.com/media/catalog/product/m/p/mpsams10p512gbblack_2.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",139999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
52,Samsung S10 128Gb | White | With Official Warranty,https://hummart.com/samsung-s10-128gb-white-with-official-warranty-8-gb-128-gb-1.html,"https://hummart.com/media/catalog/product/m/p/mpsams10p512gbwhite_2.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",139999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
53,Samsung S10+ 128Gb | Black | With Official Warranty,https://hummart.com/samsung-s10-128gb-black-with-official-warranty-8-gb-128-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsams10p512gbblack_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",159999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
54,Samsung S10+ 128Gb | White | With Official Warranty,https://hummart.com/samsung-s10-128gb-white-with-official-warranty-8-gb-128-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsams10p512gbwhite_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",159999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
55,Samsung S10+ 128Gb | Green | With Official Warranty,https://hummart.com/samsung-s10-128gb-green-with-official-warranty-8-gb-128-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsams10p128gbgreen.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",159999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
56,Samsung S10+ 512Gb | Black | With Official Warranty,https://hummart.com/samsung-s10-512gb-black-with-official-warranty-8-gb-512-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsams10p512gbblack.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",219999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
57,Samsung S10+ 512Gb | White | With Official Warranty,https://hummart.com/samsung-s10-512gb-white-with-official-warranty-8-gb-512-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsams10p512gbwhite.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",219999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
58,Samsung Note 10+ | Aura Glow | With Official Warranty,https://hummart.com/samsung-note-10-plus-aura-glow-with-official-warranty.html,"https://hummart.com/media/catalog/product/n/o/note-10_-blue.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",204999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
59,Samsung Note 10 | Aura Black | With Official Warranty,https://hummart.com/samsung-note-10-aura-black-with-official-warranty.html,"https://hummart.com/media/catalog/product/n/o/note-10-black.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",179999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
60,Samsung Note 10 | Aura White | With Official Warranty,https://hummart.com/samsung-note-10-aura-white-with-official-warranty.html,"https://hummart.com/media/catalog/product/n/o/note-10-white.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",179999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
61,Samsung Note 10+ | Aura Black | With Official Warranty,https://hummart.com/samsung-note-10-plus-aura-black-with-official-warranty.html,"https://hummart.com/media/catalog/product/n/o/note-10_-black.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",204999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
62,Samsung Note 10+ | Aura White | With Official Warranty,https://hummart.com/samsung-note-10-plus-aura-white-with-official-warranty.html,"https://hummart.com/media/catalog/product/n/o/note-10_-white.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",204999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
63,Samsung Note 10 | Aura Glow | With Official Warranty,https://hummart.com/samsung-note-10-aura-glow-with-official-warranty.html,"https://hummart.com/media/catalog/product/n/o/note-10-blue.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",179999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
