,Unnamed: 0,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
42,42,Click One Vol 70 Baby Clothes Pink,https://www.ishopping.pk/click-one-vol-70-baby-clothes-pink-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/l/click_one_vol_70_baby_clothes_pink_ew.jpg,Boy's Clothing,ishopping,320,-1
43,43,Click One Vol 53 Baby Clothes Orange,https://www.ishopping.pk/click-one-vol-53-baby-clothes-orange-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/l/click_one_vol_53_baby_clothes_orange_neq.jpg,Boy's Clothing,ishopping,250,-1
44,44,Click One Vol 70 Baby Clothes Brown,https://www.ishopping.pk/click-one-vol-70-baby-clothes-brown-price-in-paskistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/l/click_one_vol_70_baby_clothes_brown_new.jpg,Boy's Clothing,ishopping,320,-1
45,45,Data Quest Chiemsee Shorts For Kids Cabaret,https://www.ishopping.pk/data-quest-chiemsee-shorts-kids-cabaret-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/d/a/data_quest_chiemsee_cabaret_shorts_for_men_pink_nww.jpg,Boy's Clothing,ishopping,7950,-1
46,46,Data Quest Imported Pants For kids Brown,https://www.ishopping.pk/data-quest-imported-pants-kids-brown-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/d/a/data_quest_imported_pants_for_kids_brown_ne.jpg,Boy's Clothing,ishopping,14000,-1
47,47,Data Quest Mexx Printed Shirt For kids Green,https://www.ishopping.pk/data-quest-mexx-printed-shirt-kids-green-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/d/a/data_quest_mexx_printed_shirt_for_kids_green_nw.jpg,Boy's Clothing,ishopping,2660,-1
48,48,Data Quest Gelati jumpsuit For Baby,https://www.ishopping.pk/data-quest-gelati-jumpsuit-baby-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/d/a/data_quest_gelati_jumpsuit_for_baby_nw.jpg,Boy's Clothing,ishopping,2560,1200
49,49,NR Printed Waist Coat T-Shirt With Shorts For Boys White/Grey,https://www.ishopping.pk/nr-printed-waist-coat-t-shirt-with-shorts-for-boys-white-grey-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_printed_waist_coat_t-shirt_with_shorts_for_boys_white_grey_new.jpg,Boy's Clothing,ishopping,1799,-1
50,50,NR Stylish Striped T-Shirt With Attractive Shorts For Boys Yellow/Black,https://www.ishopping.pk/nr-stylish-striped-t-shirt-with-attractive-shorts-boys-yellow-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_striped_t-shirt_with_attractive_shorts_for_boys_yellow_black_new.jpg,Boy's Clothing,ishopping,1799,-1
51,51,NR Stylish Striped T-Shirt With Attractive Shorts For Boys White/Black,https://www.ishopping.pk/nr-stylish-striped-t-shirt-with-attractive-shorts-boys-white-black-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr_stylish_striped_t-shirt_with_attractive_shorts_for_boys_white_black_new_1.jpg,Boy's Clothing,ishopping,1799,-1
