Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
715,,,,,Asus GeForce RTX 2080 8GB Dual-Fan Graphics Card (DUAL-RTX2080-O8G),https://www.ishopping.pk/asus-8gb-dual-fan-graphics-card-dual-rtx2080-o8g-price-in-pakistan-ed.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_geforce_rtx_2080_8gb_dual-fan_graphics_card_dual-rtx2080-o8g__1.jpg,Accessories,ishopping,130000,-1
1029,,,,,Asus Internal CD-Rom,https://www.ishopping.pk/asus-internal-cd-rom-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_internal_cd_rom.jpg,Accessories,ishopping,599,-1
680,,,,,Asus Prime H310M-K R2.0 8th Generation mATX Motherboard,https://www.ishopping.pk/asus-prime-h310m-k-r2-0-8th-gen-matx-motherboard-price-in-pakistan-380468.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_prime_h310m-k_r20_8th_generation_matx_motherboard_1.jpg,Accessories,ishopping,11100,-1
705,,,,,Asus Prime X570-P/CSM AMD AM4 ATX Gaming Motherboard,https://www.ishopping.pk/asus-prime-x570-p-csm-amd-am4-atx-motherboard-price-in-pakistan-ed.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_prime_x570-p-csm_amd_am4_atx_gaming_motherboard_1.jpg,Accessories,ishopping,31200,-1
703,,,,,Asus Prime X570-PRO/CSM AMD AM4 ATX Gaming Motherboard,https://www.ishopping.pk/asus-prime-x570-pro-csm-amd-am4-atx-motherboard-price-in-pakistan-ed.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_prime_x570-pro-csm_amd_am4_atx_gaming_motherboard_1.jpg,Accessories,ishopping,41890,-1
684,,,,,Asus ROG Crosshair VIII Hero AMD AM4 ATX Gaming Motherboard,https://www.ishopping.pk/asus-rog-crosshair-viii-hero-amd-am4-motherboard-price-in-pakistan-ed.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_rog_crosshair_viii_hero_amd_am4_atx_gaming_motherboard_1.jpg,Accessories,ishopping,65100,-1
683,,,,,Asus ROG Crosshair VIII Hero WIFI AMD AM4 ATX Gaming Motherboard,https://www.ishopping.pk/asus-rog-crosshair-viii-hero-wifi-amd-atx-motherboard-price-in-pakistan-380454.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_rog_crosshair_viii_hero_wifi_amd_am4_atx_gaming_motherboard_1.jpg,Accessories,ishopping,67800,-1
699,,,,,Asus ROG STRIX X570-E AMD AM4 ATX WIFI Gaming Motherboard,https://www.ishopping.pk/asus-rog-strix-x570-e-amd-am4-atx-wifi-motherboard-price-in-pakistan-380254.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_rog_strix_x570-e_amd_am4_atx_wifi_gaming_motherboard_1.jpg,Accessories,ishopping,54300,-1
700,,,,,Asus ROG STRIX X570-F AMD AM4 ATX Gaming Motherboard,https://www.ishopping.pk/asus-rog-strix-x570-f-amd-am4-atx-motherboard-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/s/asus_rog_strix_x570-f_amd_am4_atx_gaming_motherboard_1.jpg,Accessories,ishopping,46690,-1
678,,,,,"Asus ROG Strix 43"" HDR Large Gaming Monitor (XG438Q)",https://www.ishopping.pk/asus-rog-strix-43-hdr-large-gaming-monitor-xg438q-price-in-pakistan-ed.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/_/x/_xg438q__1.jpg,Accessories,ishopping,176500,-1
