,Category,Link
286,Kenneth Cole ,https://www.ishopping.pk/mens-store/men-s-watches/kenneth-cole-him.html
287,Kenneth Cole,https://www.ishopping.pk/women-s-store/women-s-watches/kenneth-cole.html
288,Khusa & Kolapuri,https://www.ishopping.pk/mens-store/men-s-footwear/khusa-kolapuri.html
289,Kid's & Baby Accessories,https://www.ishopping.pk/kids-store/kids-and-baby-accessories.html
290,Kid's Store,https://www.ishopping.pk/azadi-bazaar/kid-s-store.html
291,Kids Footwear,https://www.ishopping.pk/kids-store/kids-footwear.html
292,Kids Store,https://www.ishopping.pk/kids-store.html
293,Kids Toys,https://www.ishopping.pk/kids-store/kids-toys.html
294,Kitchen & Dining,https://www.ishopping.pk/azadi-bazaar/home-and-kitchen-appliances/kitchen-dining.html
295,Kitchen & Dining,https://www.ishopping.pk/home-and-living/kitchen-dining.html
296,Kitchen & Dining Furniture,https://www.ishopping.pk/home-and-living/furniture/kitchen-dining-furniture.html
297,Kitchen Accessories,https://www.ishopping.pk/home-and-living/kitchen-accessories.html
298,Kitchen Appliances,https://www.ishopping.pk/azadi-bazaar/home-and-kitchen-appliances/kitchen-appliances.html
299,Kitchen Appliances,https://www.ishopping.pk/home-and-living/kitchen-appliances.html
300,Kitchen Chef Machines,https://www.ishopping.pk/home-and-living/kitchen-appliances/chef-machines.html
301,Kitchen Scales,https://www.ishopping.pk/more-stores/weighing-scale/kitchen-scales.html
302,Kitchen Sink,https://www.ishopping.pk/home-and-living/kitchen-accessories/kitchen-sink.html
303,Kitchen Storage,https://www.ishopping.pk/home-and-living/kitchen-dining/kitchen-storage.html
304,Kitchen Tap,https://www.ishopping.pk/home-and-living/kitchen-accessories/kitchen-tap.html
305,Kitchen Tools & Accessories ,https://www.ishopping.pk/home-and-living/kitchen-dining/kitchen-tools-accessories.html
306,Kitchen Toys,https://www.ishopping.pk/kids-store/kids-toys/kitchen-toys.html
307,Laica,https://www.ishopping.pk/more-stores/heating-blankets-pads/laica.html
308,Lamps & Shades,https://www.ishopping.pk/home-and-living/lighting/lamps-shades.html
309,Laptop,https://www.ishopping.pk/electronics/laptops-computers/laptop.html
310,Laptops,https://www.ishopping.pk/azadi-bazaar/laptops-and-accessories/laptops.html
311,Laptops & Computers,https://www.ishopping.pk/electronics/laptops-computers.html
312,Laptops & Computers,https://www.ishopping.pk/clearance-sale-in-pakistan/laptops-computers.html
313,Laptops Accessories,https://www.ishopping.pk/azadi-bazaar/laptops-and-accessories/laptops-accessories.html
314,Laptops Accessories,https://www.ishopping.pk/clearance-sale-in-pakistan/laptops-accessories.html
315,Laptops and Accessories,https://www.ishopping.pk/azadi-bazaar/laptops-and-accessories.html
316,Large Appliances,https://www.ishopping.pk/clearance-sale-in-pakistan/home-living/large-appliances.html
317,Lars Larsen,https://www.ishopping.pk/mens-store/men-s-watches/lars-larsen.html
318,Laundry & Home Care,https://www.ishopping.pk/more-stores/grocer-s-shop/laundry-home-care.html
319,Laundry Brushes & Lint Removers,https://www.ishopping.pk/home-and-living/home-storage-supplies/laundry-brushes-lint-removers.html
320,Lawn & Garden,https://www.ishopping.pk/home-and-living/lawn-garden.html
321,Lawn & Plant Care,https://www.ishopping.pk/home-and-living/lawn-garden/lawn-plant-care.html
322,Learning & Education,https://www.ishopping.pk/kids-store/kids-toys/learning-education.html
323,LED TV,https://www.ishopping.pk/azadi-bazaar/led-tv.html
324,LED TV,https://www.ishopping.pk/electronics/tv-s-and-entertainment/led-tv.html
325,Lee Cooper,https://www.ishopping.pk/mens-store/men-s-watches/lee-cooper.html
326,Lee Cooper,https://www.ishopping.pk/women-s-store/women-s-watches/lee-cooper.html
